Water_Control_Zone,Station,Site,Site_ID,Dates,Sample_No,Depth,Season,Binning,Volatile_Suspended_Solids,Turbidity,Total_Nitrogen,Total_Kjeldahl_Nitrogen,Total_Inorganic_Nitrogen,Salinity,Phaeo-pigments,Orthophosphate_Phosphorus,Faecal_Coliforms,Dissolved_Oxygen_mgL,Ammonia_Nitrogen,5-day_Biochemical_Oxygen_Demand
Port Shelter,PM11,Bluff Island,BI,17/5/2018,1,Surface Water,summer,low,0.5,0.1,0.27,0.27,0.03,33.5,0,0,0,6.4,0.026,0.3
Port Shelter,PM9,Bluff Island,BI,17/5/2018,1,Middle Water,summer,low,0.6,0.2,0.26,0.26,0.02,33.8,0,0,0,6.5,0.016,0.3
Port Shelter,PM11,Bluff Island,BI,14/6/2018,1,Surface Water,summer,low,1,1.2,0.35,0.31,0.06,29.9,0.4,0,40,6.1,0.018,0.6
Port Shelter,PM9,Bluff Island,BI,14/6/2018,1,Middle Water,summer,low,0.7,1,0.89,0.86,0.05,30.8,1.3,0.007,13,4.8,0.024,0.3
Port Shelter,PM11,Bluff Island,BI,13/7/2018,1,Surface Water,summer,low,0.8,2.4,0.91,0.9,0.02,31.3,0.9,0.008,0,6.1,0.017,1.2
Port Shelter,PM9,Bluff Island,BI,13/7/2018,1,Middle Water,summer,low,1.1,0.7,0.73,0.73,0.03,31.3,0,0.008,0,6.3,0.024,0.7
Port Shelter,PM11,Bluff Island,BI,20/8/2018,1,Surface Water,summer,low,0.7,2.8,0.12,0.09,0.05,30.8,0.8,0.007,0,6,0.023,0.5
Port Shelter,PM9,Bluff Island,BI,20/8/2018,1,Middle Water,summer,low,0.6,0.3,0.2,0.08,0.13,31.9,0.4,0.017,0,4.7,0.009,0.2
Port Shelter,PM11,Bluff Island,BI,24/9/2018,1,Surface Water,summer,low,0.8,0.3,0.2,0.2,0.01,30.3,1.6,0.005,0,7.9,0.008,0.7
Port Shelter,PM9,Bluff Island,BI,24/9/2018,1,Middle Water,summer,low,0.6,0.4,0.48,0.44,0.06,32.2,1.2,0.012,0,7.2,0.018,0.6
Port Shelter,PM11,Bluff Island,BI,11/10/2018,1,Surface Water,autumn,low,0.5,0.3,0.12,0.11,0.02,32.5,0.6,0.008,1,6,0.017,0.2
Port Shelter,PM9,Bluff Island,BI,11/10/2018,1,Middle Water,autumn,low,0.7,0.8,0.17,0.16,0.05,32.4,0.5,0.009,1,5.4,0.035,0.3
Port Shelter,PM11,Bluff Island,BI,3/5/2019,1,Surface Water,summer,low,2,0.1,0.24,0.19,0.06,32.3,1.2,0.007,0,5.6,0.014,0.7
Port Shelter,PM9,Bluff Island,BI,3/5/2019,1,Middle Water,summer,low,1.2,0.2,0.29,0.25,0.06,32.1,0,0.008,0,5.3,0.016,0.4
Port Shelter,PM11,Bluff Island,BI,26/6/2019,1,Surface Water,summer,low,0.8,0.5,0.32,0.29,0.04,30.8,0,0,3,5.9,0.016,0.8
Port Shelter,PM9,Bluff Island,BI,26/6/2019,1,Middle Water,summer,low,0,0.4,0.19,0.18,0.02,31.7,0,0,0,4.7,0.006,0.7
Port Shelter,PM11,Bluff Island,BI,4/7/2019,1,Surface Water,summer,low,1.1,6.2,0.54,0.41,0.14,21.5,2.2,0.002,6,5.5,0.014,1.5
Port Shelter,PM9,Bluff Island,BI,4/7/2019,1,Middle Water,summer,low,0.6,7.7,0.25,0.13,0.14,23.7,0,0.004,11,5.9,0.021,1.1
Port Shelter,PM11,Bluff Island,BI,19/8/2019,1,Surface Water,summer,low,2.4,10.8,0.18,0.18,0.02,32.9,1.3,0,2,6,0.019,1.2
Port Shelter,PM9,Bluff Island,BI,19/8/2019,1,Middle Water,summer,low,1.7,10.5,0.18,0.1,0.11,34.5,1.2,0.016,1,3.2,0.032,0.4
Port Shelter,PM11,Bluff Island,BI,19/1/2018,1,Surface Water,winter,low,1.4,7.4,0.54,0.51,0.06,32.2,2,0.003,0,8.9,0.024,1.3
Port Shelter,PM9,Bluff Island,BI,19/1/2018,1,Middle Water,winter,low,1.3,6,0.41,0.34,0.09,32.3,1.3,0.009,2,9,0.018,0.6
Port Shelter,PM11,Bluff Island,BI,5/2/2018,1,Surface Water,winter,low,0.6,4.7,0.65,0.6,0.08,32.6,1,0.007,0,7.9,0.027,0.3
Port Shelter,PM9,Bluff Island,BI,5/2/2018,1,Middle Water,winter,low,0.7,0.6,0.63,0.58,0.07,32.5,0.8,0.006,1,8,0.023,0.3
Port Shelter,PM11,Bluff Island,BI,12/3/2018,1,Surface Water,winter,low,1.6,0.3,0.19,0.19,0.02,32.4,1.6,0,0,9.3,0.013,1.1
Port Shelter,PM9,Bluff Island,BI,12/3/2018,1,Middle Water,winter,low,1.8,0.1,0.59,0.59,0.01,32.4,1.6,0,0,9.1,0.009,1.3
Port Shelter,PM11,Bluff Island,BI,18/4/2018,1,Surface Water,spring,low,0.6,0.7,0.4,0.4,0.02,33.7,0.4,0,0,6,0.02,0.6
Port Shelter,PM9,Bluff Island,BI,18/4/2018,1,Middle Water,spring,low,1.5,0.7,0.77,0.77,0.03,33.8,0,0.01,0,6.7,0.023,0.5
Port Shelter,PM11,Bluff Island,BI,15/11/2018,1,Surface Water,winter,low,1.6,2.2,0.17,0.15,0.03,33,1.1,0.006,0,5.5,0.011,0
Port Shelter,PM9,Bluff Island,BI,15/11/2018,1,Middle Water,winter,low,1.9,2.2,0.36,0.35,0.03,33.1,1.3,0.008,0,6.1,0.014,0
Port Shelter,PM11,Bluff Island,BI,14/12/2018,1,Surface Water,winter,low,1.7,2.2,0.13,0.12,0.01,33.4,1.3,0.008,0,4.1,0,0.3
Port Shelter,PM9,Bluff Island,BI,14/12/2018,1,Middle Water,winter,low,1.8,1.7,0.08,0.08,0.01,33.4,0.9,0.009,0,3.9,0.008,0.4
Port Shelter,PM11,Bluff Island,BI,18/1/2019,1,Surface Water,winter,low,0,1.3,0.4,0.21,0.2,31.7,0.7,0.02,0,7.2,0.016,0.4
Port Shelter,PM9,Bluff Island,BI,18/1/2019,1,Middle Water,winter,low,0,0.4,0.42,0.26,0.17,31.9,0.8,0.018,0,7.9,0.011,0.6
Port Shelter,PM11,Bluff Island,BI,11/2/2019,1,Surface Water,winter,low,2,0.4,0.37,0.36,0.04,32.1,1.8,0,0,7.3,0.025,2
Port Shelter,PM9,Bluff Island,BI,11/2/2019,1,Middle Water,winter,low,0.8,0.3,0.32,0.27,0.07,32.5,0.7,0.011,0,7.6,0.021,0.6
Port Shelter,PM11,Bluff Island,BI,6/3/2019,1,Surface Water,winter,low,1.5,0.2,0.88,0.86,0.04,32.5,0.7,0,1,6.9,0.029,0.5
Port Shelter,PM9,Bluff Island,BI,6/3/2019,1,Middle Water,winter,low,1.5,0.3,0.4,0.39,0.04,32.8,0.7,0,0,7.4,0.023,0.4
Port Shelter,PM11,Bluff Island,BI,4/4/2019,1,Surface Water,spring,low,2.4,1.5,0.26,0.25,0.02,33.8,0.8,0.008,0,6.1,0.013,0.4
