"","Kingdom","Phylum","Class","Order","Family","Genus","Species","SourceID","Seq","indtype"
"1","Metazoa","Annelida",NA,"Eunicida","Eunicidae",NA,"Eunicidae_HK04","95_Match","sq8",NA
"2","Metazoa","Annelida","Polychaeta","Phyllodocida","Hesionidae","Leocrates","Leocrates_chinensis_HK01","95_Match","sq23",NA
"3","Metazoa","Arthropoda","Malacostraca","Decapoda","Hippolytidae","Thor","Thor_paschalis_HK01","95_Match","sq16",NA
"4","Metazoa","Annelida","Polychaeta","Phyllodocida","Nereididae","Platynereis","Nereididae_HK01","95_Match","sq4",NA
"5","Metazoa","Porifera","Demospongiae","Suberitida","Suberitidae",NA,NA,"95_Match","sq6",NA
"6","Metazoa","Bryozoa","Gymnolaemata","Cheilostomatida","Schizoporellidae","Schizoporella","Schizoporella_pungens","95_Match","sq7",NA
"8","Metazoa","Echinodermata","Ophiuroidea","Ophiurida","Ophiactidae","Ophiactis",NA,"95_Match","sq28",NA
"9","Metazoa","Porifera","Demospongiae","Suberitida","Suberitidae",NA,NA,"95_Match","sq34",NA
"10","Metazoa","Annelida",NA,"Terebellida","Terebellidae",NA,"Terebellidae_HK05","95_Match","sq36",NA
"11","Metazoa","Chordata","Actinopterygii","Perciformes","Gobiidae","Eviota","Eviota_HK01","95_Match","sq12",NA
"12","Metazoa","Platyhelminthes","Turbellaria","Polycladida",NA,NA,"Polycladida_HK06","95_Match","sq53",NA
"13","Metazoa","Mollusca","Bivalvia","Ostreoida","Ostreidae","Ostrea",NA,"95_Match","sq55",NA
"14","Metazoa","Arthropoda","Hexanauplia","Sessilia","Tetraclitidae","Tetraclitella","Tetraclitella_pilsbryi","95_Match","sq57",NA
"15","Metazoa","Arthropoda","Malacostraca","Decapoda","Alpheidae","Athanas","Athanas_parvus","95_Match","sq9",NA
"16","Metazoa","Arthropoda","Malacostraca","Amphipoda",NA,NA,NA,"95_Match","sq69",NA
"17","Metazoa","Annelida",NA,"Eunicida","Eunicidae","Lysidice","Lysidice_HK01","95_Match","sq42",NA
"18","Metazoa","Mollusca","Gastropoda",NA,"Trochidae","Clanculus","Clanculus_margaritarius","95_Match","sq43",NA
"19","Metazoa","Annelida","Polychaeta","Phyllodocida","Hesionidae","Platynereis","Nereididae_HK04","95_Match","sq50",NA
"20","Metazoa","Cnidaria","Hydrozoa","Anthoathecata","Pandeidae","Amphinema","Amphinema_sp._PS-2017","95_Match","sq58",NA
"21","Metazoa","Annelida",NA,"Eunicida","Dorvilleidae","Dorvillea","Dorvilleidae_HK01","95_Match","sq86",NA
