Sample_ID,ARMS_ID,Size_Fraction,Station_ID,Month_Ret,Ret_ID,Impact
COI-100-HK19,ARMS_19,COI_100,BI,WIN,BI_2019_WIN,Low
COI-500-HK19,ARMS_19,COI_500,BI,WIN,BI_2019_WIN,Low
COI-Sessile-HK19,ARMS_19,COI_sessile,BI,WIN,BI_2019_WIN,Low
COI-100-HK20,ARMS_20,COI_100,BI,WIN,BI_2019_WIN,Low
COI-500-HK20,ARMS_20,COI_500,BI,WIN,BI_2019_WIN,Low
COI-Sessile-HK20,ARMS_20,COI_sessile,BI,WIN,BI_2019_WIN,Low
COI-100-HK21,ARMS_21,COI_100,BI,WIN,BI_2019_WIN,Low
COI-500-HK21,ARMS_21,COI_500,BI,WIN,BI_2019_WIN,Low
COI-Sessile-HK21,ARMS_21,COI_sessile,BI,WIN,BI_2019_WIN,Low
COI-100-HK40,ARMS_40,COI_100,BI,SUM,BI_2019_SUM,Low
COI-500-HK40,ARMS_40,COI_500,BI,SUM,BI_2019_SUM,Low
COI-Sessile-HK40,ARMS_40,COI_sessile,BI,SUM,BI_2019_SUM,Low
COI-100-HK41,ARMS_41,COI_100,BI,SUM,BI_2019_SUM,Low
COI-500-HK41,ARMS_41,COI_500,BI,SUM,BI_2019_SUM,Low
COI-Sessile-HK41,ARMS_41,COI_sessile,BI,SUM,BI_2019_SUM,Low
COI-100-HK42,ARMS_42,COI_100,BI,SUM,BI_2019_SUM,Low
COI-500-HK42,ARMS_42,COI_500,BI,SUM,BI_2019_SUM,Low
COI-100-HK22,ARMS_22,COI_100,CDA,WIN,CDA_2019_WIN,Low
COI-500-HK22,ARMS_22,COI_500,CDA,WIN,CDA_2019_WIN,Low
COI-Sessile-HK22,ARMS_22,COI_sessile,CDA,WIN,CDA_2019_WIN,Low
COI-100-HK23,ARMS_23,COI_100,CDA,WIN,CDA_2019_WIN,Low
COI-500-HK23,ARMS_23,COI_500,CDA,WIN,CDA_2019_WIN,Low
COI-Sessile-HK23,ARMS_23,COI_sessile,CDA,WIN,CDA_2019_WIN,Low
COI-100-HK24,ARMS_24,COI_100,CDA,WIN,CDA_2019_WIN,Low
COI-500-HK24,ARMS_24,COI_500,CDA,WIN,CDA_2019_WIN,Low
COI-Sessile-HK24,ARMS_24,COI_sessile,CDA,WIN,CDA_2019_WIN,Low
COI-100-HK43,ARMS_43,COI_100,CDA,SUM,CDA_2019_SUM,Low
COI-500-HK43,ARMS_43,COI_500,CDA,SUM,CDA_2019_SUM,Low
COI-Sessile-HK43,ARMS_43,COI_sessile,CDA,SUM,CDA_2019_SUM,Low
COI-100-HK44,ARMS_44,COI_100,CDA,SUM,CDA_2019_SUM,Low
COI-500-HK44,ARMS_44,COI_500,CDA,SUM,CDA_2019_SUM,Low
COI-Sessile-HK44,ARMS_44,COI_sessile,CDA,SUM,CDA_2019_SUM,Low
COI-100-HK45,ARMS_45,COI_100,CDA,SUM,CDA_2019_SUM,Low
COI-500-HK45,ARMS_45,COI_500,CDA,SUM,CDA_2019_SUM,Low
COI-Sessile-HK45,ARMS_45,COI_sessile,CDA,SUM,CDA_2019_SUM,Low
COI-100-HK13,ARMS_13,COI_100,CI,WIN,CI_2019_WIN,High
COI-500-HK13,ARMS_13,COI_500,CI,WIN,CI_2019_WIN,High
COI-Sessile-HK13,ARMS_13,COI_sessile,CI,WIN,CI_2019_WIN,High
COI-100-HK14,ARMS_14,COI_100,CI,WIN,CI_2019_WIN,High
COI-500-HK14,ARMS_14,COI_500,CI,WIN,CI_2019_WIN,High
COI-Sessile-HK14,ARMS_14,COI_sessile,CI,WIN,CI_2019_WIN,High
COI-100-HK15,ARMS_15,COI_100,CI,WIN,CI_2019_WIN,High
COI-500-HK15,ARMS_15,COI_500,CI,WIN,CI_2019_WIN,High
COI-Sessile-HK15,ARMS_15,COI_sessile,CI,WIN,CI_2019_WIN,High
COI-100-HK34,ARMS_34,COI_100,CI,SUM,CI_2019_SUM,High
COI-500-HK34,ARMS_34,COI_500,CI,SUM,CI_2019_SUM,High
COI-Sessile-HK34,ARMS_34,COI_sessile,CI,SUM,CI_2019_SUM,High
COI-100-HK35,ARMS_35,COI_100,CI,SUM,CI_2019_SUM,High
COI-500-HK35,ARMS_35,COI_500,CI,SUM,CI_2019_SUM,High
COI-Sessile-HK35,ARMS_35,COI_sessile,CI,SUM,CI_2019_SUM,High
COI-100-HK36,ARMS_36,COI_100,CI,SUM,CI_2019_SUM,High
COI-500-HK36,ARMS_36,COI_500,CI,SUM,CI_2019_SUM,High
COI-Sessile-HK36,ARMS_36,COI_sessile,CI,SUM,CI_2019_SUM,High
COI-100-HK7,ARMS_7,COI_100,CI,OCT,CI_2017,High
COI-500-HK7,ARMS_7,COI_500,CI,OCT,CI_2017,High
COI-Sessile-HK7,ARMS_7,COI_sessile,CI,OCT,CI_2017,High
COI-100-HK8,ARMS_8,COI_100,CI,OCT,CI_2017,High
COI-500-HK8,ARMS_8,COI_500,CI,OCT,CI_2017,High
COI-Sessile-HK8,ARMS_8,COI_sessile,CI,OCT,CI_2017,High
COI-100-HK9,ARMS_9,COI_100,CI,OCT,CI_2017,High
COI-500-HK9,ARMS_9,COI_500,CI,OCT,CI_2017,High
COI-Sessile-HK9,ARMS_9,COI_sessile,CI,OCT,CI_2017,High
COI-100-HK4,ARMS_4,COI_100,CLP,OCT,CLP_2017,Med
